,Name,E(B-V),D,Mass,mV,Re,Rhm,sigma0,sigma_global,(m-M)V,MV,re,mV0,,,,,,,,
112,NGC_6712,0.45,7.38,95000,8.6,2.55,3.5,4.9,3.945278749,14.34028181,-7.135281809,71.27035705,7.205,,,,,,,,
113,NGC_6715,0.15,26.28,1590000,7.57,3.58,5.78,17.2,12.55985298,17.0981268,-9.993126804,28.098478,7.105,,,,,,,,
114,NGC_6717,0.22,7.52,26300,8.98,2.63,3.26,2.9,2.150893895,14.3810892,-6.083089203,72.13782158,8.298,,,,,,,,
115,NGC_6723,0.05,8.27,197000,7.21,3.64,5.07,5.9,4.720402657,14.58752755,-7.532527548,90.78643848,7.055,,,,,,,,
116,NGC_6749,1.5,7.59,205000,10.91,4.17,6.1,5.4,4.389973774,14.40120888,-8.141208879,113.3233406,6.26,,,,,,,,
117,NGC_6752,0.04,4.12,261000,5.35,2.86,4.75,7.7,5.613366023,13.07448608,-7.84848608,143.1837988,5.226,,,,,,,,
118,NGC_6760,0.77,8.41,286000,8.89,3.35,5.74,6.6,5.345360291,14.62397998,-8.120979979,82.16255225,6.503,,,,,,,,
119,NGC_6779,0.26,10.43,166000,8.15,2.96,4.42,5.8,4.640799675,15.09142154,-7.747421542,58.53727805,7.344,,,,,,,,
120,Pal_10,1.66,8.94,125000,12.37,4.03,6.91,3.9,3.220815856,14.75668759,-7.532687594,92.98066139,7.224,,,,,,,,
122,NGC_6809,0.08,5.35,197000,6.29,4.6,6.78,5,4.081954682,13.64176891,-7.59976891,177.3491355,6.042,,,,,,,,
124,NGC_6838,0.25,4,37800,7.16,3.32,4.81,2.6,2.122869388,13.01029996,-6.625299957,171.1997499,6.385,,,,,,,,
125,NGC_6864,0.16,20.52,459000,8.51,2.05,2.94,12.3,9.461992299,16.56088678,-8.546886782,20.60637677,8.014,,,,,,,,
126,NGC_6934,0.1,15.72,150000,8.74,2.96,4.71,5.5,4.273513583,15.98226271,-7.552262709,38.83866535,8.43,,,,,,,,
127,NGC_6981,0.05,16.66,81200,9.32,4.14,5.79,3.5,2.835885196,16.10837499,-6.943374985,51.25667949,9.165,,,,,,,,
128,NGC_7006,0.05,39.32,132000,10.69,4.31,6.59,4.2,3.38917638,17.97306755,-7.438067546,22.60939246,10.535,,,,,,,,
129,NGC_7078,0.1,10.71,518000,6.28,2.03,3.66,13.1,9.008951521,15.14894735,-9.178947354,39.0959432,5.97,,,,,,,,
130,NGC_7089,0.06,11.69,624000,6.48,3.05,4.76,11.1,8.670391965,15.33907256,-9.045072556,53.81588065,6.294,,,,,,,,
131,NGC_7099,0.03,8.46,121000,7.37,2.54,4.27,5.9,4.031147231,14.63685182,-7.359851815,61.92820238,7.277,,,,,,,,
