,Name,E(B-V),D,er_D,Mass,er_Mass,MLR,er_MLR,mV,er_mV,Re,Rhm,sigma0,sigma_global,er_sigma_global,(m-M)V,er_(m-M)V,MV,er_MV,re,er_re,mV0
93,NGC_6539,1.02,8.16,0.39,215000.0,16200.0,1.97,0.16,9.94,0.04,3.69,5.16,6.0,4.888147382550457,0.18415811069143584,14.558450793769307,0.10378360780776237,-7.780450793769308,0.11122516464179964,93.2741523494449,2.1612776722268343e-05,6.777999999999999
94,NGC_6540,0.66,5.91,0.27,56200.0,3680.0,2.27,0.27,9.74,0.11,2.65,4.49,3.8,2.6791368629457173,0.08771551295053595,13.857937404406279,0.09920432327739254,-6.163937404406279,0.14812662744059696,92.48759727957892,2.0484934941910508e-05,7.694
95,NGC_6544,0.76,2.58,0.06,81500.0,5650.0,2.3,0.52,7.86,0.23,1.54,2.24,6.3,4.567775049111234,0.15833085292931579,12.05809852981615,0.050499358360843224,-6.55409852981615,0.2354786300173688,123.11928833169146,1.388137237529855e-05,5.504
96,NGC_6541,0.14,7.61,0.1,257000.0,3290.0,1.53,0.06,6.61,0.04,2.29,3.81,9.2,6.219478724501417,0.03980950389807327,14.406923283852862,0.028534460046205763,-8.230923283852862,0.04913466607323706,62.069171097034065,3.954268266276336e-06,6.176
97,NGC_6553,0.63,5.33,0.13,229000.0,8940.0,2.59,0.18,8.04,0.06,2.3,2.88,8.5,6.752605995021163,0.13180851003381922,13.63363604513286,0.052962741695518505,-7.546636045132861,0.08003156882072358,89.00732174894434,1.0524868767303353e-05,6.086999999999999
98,NGC_6558,0.44,7.79,0.18,31300.0,961.0,1.27,0.08,9.66,0.06,1.54,1.96,4.1,3.0261750464422743,0.04645613769378634,14.45768728836282,0.050175228974701745,-6.16168728836282,0.07821479145701118,40.776353977217255,4.5679179417133285e-06,8.296
99,IC_1276,1.08,4.55,0.25,74300.0,6960.0,1.81,0.2,9.92,0.06,3.2,4.98,3.7,2.9250254437213967,0.1369998458162915,13.290056983285563,0.11931167085254168,-6.718056983285564,0.13354877311913144,145.06533432201172,3.8642656891640794e-05,6.571999999999999
100,NGC_6569,0.53,10.53,0.26,229000.0,21000.0,2.17,0.21,8.9,0.04,2.6,3.46,7.6,6.1606935238752,0.2824772139768105,15.112141855927433,0.053616602704105155,-7.8551418559274335,0.06689349808112785,50.929580754410225,6.096631239345755e-06,7.257
101,BH_261,0.36,6.12,0.26,23800.0,5680.0,8.52,2.06,11.26,0.04,2.94,4.45,2.2,1.7512912819867945,0.20897761516144941,13.933757110727807,0.09225209582912211,-3.789757110727807,0.10055072940991293,99.08798753552222,2.040881241174305e-05,10.144
102,NGC_6584,0.1,13.61,0.17,115000.0,5070.0,1.51,0.08,8.76,0.03,3.47,5.37,4.4,3.5043840098859294,0.07724881273965942,15.669290626016675,0.027123461397337546,-7.219290626016676,0.040443567574743704,52.589188991087546,3.1846529929418925e-06,8.45
103,NGC_6624,0.28,8.02,0.11,103000.0,1890.0,1.37,0.09,8.03,0.07,1.7,2.25,7.0,5.123624173419013,0.0470080081930191,14.520871841420817,0.029783287412317765,-7.358871841420818,0.0760726245707661,43.72196575665085,2.907320097478326e-06,7.161999999999999
104,NGC_6626,0.4,5.37,0.1,270000.0,17400.0,1.94,0.16,6.85,0.06,1.61,2.33,10.4,8.151805974931017,0.26266930363666613,13.649871428497779,0.04043710259806813,-8.03987142849778,0.07235440046415068,61.841029442756046,5.583123897783208e-06,5.609999999999999
105,NGC_6638,0.41,9.78,0.34,124000.0,22900.0,1.56,0.32,8.79,0.1,1.84,2.28,7.0,5.584616199749871,0.5156762539285165,14.951694273938006,0.07549086086252843,-7.432694273938007,0.1252951318837473,38.80646615712713,6.540621462105712e-06,7.518999999999999
106,NGC_6637,0.18,8.9,0.1,138000.0,2470.0,1.53,0.06,7.62,0.04,2.41,3.19,6.3,4.980742783316911,0.0445740386767854,14.746950033224564,0.024398566399059088,-7.684950033224564,0.04685392237934083,55.85372706803806,3.042544910094621e-06,7.062
107,NGC_6642,0.4,8.05,0.2,39500.0,1270.0,1.4,0.08,9.65,0.05,1.37,1.73,5.0,3.618473604532724,0.05817039845261468,14.528979401839344,0.05394962508114928,-6.1189794018393435,0.07355652279979372,35.10345115904808,4.228231813032393e-06,8.41
108,NGC_6652,0.09,9.46,0.14,40900.0,1540.0,1.53,0.08,8.92,0.04,1.46,1.85,4.8,3.560620619498634,0.0670336889245464,14.879455682008963,0.0321359553205366,-6.238455682008963,0.05131003434381549,31.83368020399127,2.2840131937678785e-06,8.641
109,NGC_6656,0.34,3.3,0.04,470000.0,5770.0,2.02,0.08,5.06,0.04,3.18,5.21,9.1,7.19250181277224,0.044149718574144486,12.592569699389436,0.026320877691106172,-8.586569699389436,0.047883072190808416,198.76420631430747,1.1680429924960553e-05,4.005999999999999
110,Pal_8,0.32,11.32,0.63,71300.0,15300.0,2.9,0.68,10.11,0.1,3.46,6.14,3.2,2.5805393865611954,0.2768741417558646,15.269232134261262,0.12085049628933242,-6.151232134261264,0.15685930783150215,63.0456013595477,1.701076143691681e-05,9.117999999999999
111,NGC_6681,0.07,9.36,0.11,105000.0,2120.0,1.68,0.07,7.91,0.04,2.16,3.04,6.5,4.450489394308371,0.04492875007587498,14.856379243690526,0.025519440710126975,-7.1633792436905255,0.04744725338897591,47.59956982744409,2.712031413757696e-06,7.6930000000000005
112,NGC_6712,0.45,7.38,0.24,95000.0,7080.0,1.56,0.12,8.6,0.03,2.55,3.5,4.9,3.9452787488142818,0.14701354495581637,14.340281809115208,0.070616988927358,-7.135281809115208,0.07672521831292892,71.27035704580629,1.1236696391282778e-05,7.205
113,NGC_6715,0.15,26.28,0.33,1590000.0,28400.0,1.87,0.11,7.57,0.06,3.58,5.78,17.2,12.559852976458682,0.11216975614195804,17.098126804438717,0.027267347608080875,-9.993126804438717,0.06590529755323098,28.098477998358295,1.7105912125308682e-06,7.105
114,NGC_6717,0.22,7.52,0.13,26300.0,1860.0,1.14,0.09,8.98,0.03,2.63,3.26,2.9,2.1508938951368997,0.0760582251892516,14.381089202958211,0.03753875176025447,-6.083089202958211,0.048053697919286174,72.13782158409511,6.045933506763568e-06,8.298
115,NGC_6723,0.05,8.27,0.1,197000.0,3660.0,2.24,0.09,7.21,0.04,3.64,5.07,5.9,4.72040265668233,0.043849425694054124,14.587527547762733,0.026257223815190557,-7.532527547762733,0.04784811179640227,90.78643848314344,5.322188845379078e-06,7.055
